fixture_id,season_id,y_true,y_pred,p_home,p_draw,p_away
213723608,6597,D,H,0.5253932410003894,0.25332341424869276,0.22128334475091782
213723609,6597,D,A,0.14002010463381043,0.21710481008070556,0.6428750852854841
213723613,6597,D,H,0.6426843180519848,0.27804657148973183,0.07926911045828348
215022546,6484,H,H,0.7549131558403156,0.12080026026822709,0.12428658389145726
215022547,6484,H,A,0.30179195713126317,0.264796769706175,0.4334112731625619
215022548,6484,A,H,0.38644821248149064,0.3642957248730739,0.2492560626454354
215022549,6484,A,A,0.3595728574581705,0.15787126248604524,0.48255588005578426
215022550,6484,H,A,0.232549681409053,0.2797499598888137,0.48770035870213324
215022551,6484,A,H,0.5887316618687993,0.19729648567075306,0.2139718524604477
215022552,6484,A,H,0.46211205673715117,0.17684230022011455,0.36104564304273423
215022553,6484,H,H,0.5110596146560787,0.3578814687956976,0.1310589165482237
215022554,6484,A,A,0.1948361413779244,0.16574543361190225,0.6394184250101733
215022555,6484,H,A,0.2508317106573768,0.29405183438981036,0.45511645495281283
215560087,6435,H,H,0.49658379798336827,0.29885372320951137,0.20456247880712042
215560088,6526,A,A,0.14521101498672753,0.20234277816357585,0.6524462068496967
215560090,6435,D,D,0.21683180327091323,0.5080084856600093,0.27515971106907755
215560091,6526,D,A,0.27045162811048296,0.3551331595783527,0.37441521231116437
215560092,6527,H,H,0.4021392547656424,0.23906648832559688,0.35879425690876066
215560096,6435,H,A,0.3133851507065283,0.33715806651000835,0.3494567827834633
215560097,6526,D,A,0.18032520789919868,0.35442511156809137,0.46524968053270976
215560098,6597,H,H,0.6909436158450183,0.262169187436957,0.046887196718024736
215560099,6527,H,H,0.41963354111696677,0.3573041707743225,0.22306228810871076
215560100,6527,D,H,0.5359099132906426,0.32034080555728367,0.14374928115207364
215560101,6527,A,H,0.4017326105866105,0.34664199170166277,0.2516253977117269
215560102,6435,H,A,0.189901845555209,0.3785897378273768,0.43150841661741424
215560104,6597,D,H,0.6432025697167069,0.2258343062453462,0.13096312403794688
215560105,6526,H,D,0.38675962978507833,0.46769281943101804,0.1455475507839036
215560106,6527,D,A,0.16959401451260547,0.328821114730765,0.5015848707566296
215560109,6435,H,H,0.6882889782896335,0.24754896963210793,0.06416205207825855
215560110,6526,H,H,0.5446580794267208,0.31929127218717085,0.1360506483861083
215560113,6435,H,A,0.08948090109841517,0.25733402437007014,0.6531850745315148
215560114,6526,H,D,0.394493069822783,0.42300459771060583,0.18250233246661116
215560116,6527,H,H,0.46589732242028614,0.24117383361286493,0.2929288439668489
215560119,6597,D,A,0.35911225231730953,0.16145727296230694,0.47943047472038364
215560120,6435,H,H,0.6123269883453555,0.29854590969120653,0.08912710196343804
215560121,6526,D,H,0.5058750572302316,0.3377670921616918,0.15635785060807653
215560123,6527,A,A,0.09744362123571965,0.1992234763262681,0.7033329024380123
215560124,6435,H,H,0.6845981364393423,0.26310933229044314,0.05229253127021461
215560125,6597,D,A,0.32161053666493233,0.29423113310493465,0.384158330230133
215560126,6597,A,H,0.43408851900781603,0.2259508649024948,0.3399606160896892
215560127,6597,A,A,0.23793057285978866,0.2607535524935275,0.5013158746466839
215560128,6597,H,H,0.8817920641430721,0.1082781081435025,0.009929827713425448
215560129,6597,A,H,0.7524334741655234,0.134481266062156,0.11308525977232049
215560130,6526,H,H,0.46670071353980663,0.33458483259202115,0.1987144538681721
215560131,6526,A,H,0.37384540584116516,0.2684079486409645,0.3577466455178703
215560132,6435,D,D,0.275085246191372,0.3853710277619336,0.3395437260466945
215560133,6526,A,H,0.5928557495386135,0.20712854703065864,0.20001570343072791
215560134,6527,A,A,0.21187369388029625,0.2872521313458532,0.5008741747738505
215560135,6597,H,A,0.2506074876025633,0.3260441622087163,0.4233483501887205
215560151,6527,H,H,0.6108800377582776,0.2845292457525919,0.10459071648913056
215609590,6435,A,A,0.15706405720154462,0.28870252289916504,0.5542334198992904
219132047,6527,A,A,0.14365635753766465,0.24059777041557118,0.6157458720467641
219132049,6435,D,H,0.5096756126439957,0.28896638119528584,0.2013580061607185
219132053,6597,D,A,0.2805137444613447,0.29567871149440667,0.4238075440442486
219132055,6435,H,H,0.47247243428065694,0.3262485795048734,0.2012789862144696
219132057,6597,D,H,0.47069788262357215,0.33770755811919606,0.19159455925723173
219132058,6597,H,H,0.5614169550396846,0.28705201110076767,0.15153103385954778
219132059,6597,A,H,0.48330165971076017,0.30956840439657324,0.20712993589266646
219132060,6597,A,D,0.3128011807520119,0.399324614941522,0.2878742043064661
219132061,6435,H,A,0.31136208901226164,0.34369268547463294,0.34494522551310536
219132066,6597,H,H,0.862232842585323,0.10013983352033876,0.03762732389433821
219132074,6435,A,A,0.1698705092772268,0.23574400792592595,0.5943854827968473
219132075,6527,H,H,0.4037489851062244,0.294627850836446,0.30162316405732953
219132076,6597,D,A,0.29006172142048336,0.2569960480391084,0.4529422305404084
219132078,6527,H,H,0.6507674100672842,0.1670579113278881,0.18217467860482767
219132079,6435,H,H,0.6075745008277166,0.3089622967239278,0.08346320244835564
219541609,6526,A,A,0.1206305441456232,0.23788154481034535,0.6414879110440315
219541611,6435,A,D,0.3243578296226861,0.4320026899642466,0.2436394804130673
219541613,6435,A,A,0.13906635387123423,0.4000091689424488,0.4609244771863169
219541614,6435,H,H,0.5775087604548191,0.3063218495750816,0.11616938997009929
219541616,6526,H,H,0.47127471344555116,0.36966015177607886,0.15906513477836998
219541617,6527,H,H,0.562529383267703,0.18409918201730133,0.2533714347149958
219541619,6527,D,A,0.2531021593868774,0.3650188784277999,0.38187896218532275
219541620,6526,A,A,0.11807523859335105,0.33816874551207304,0.5437560158945759
219541621,6526,D,H,0.5443595807803995,0.32688492385235124,0.12875549536724926
219541625,6527,A,A,0.13304337495639004,0.3167976719860822,0.5501589530575277
219541626,6597,D,D,0.292974047728107,0.3796115211232741,0.3274144311486188
219541627,6527,H,H,0.45650506471350344,0.3457433736823457,0.19775156160415083
219541630,6526,D,D,0.29361113424692636,0.47223568786125364,0.23415317789182002
219541634,6526,H,H,0.6136017755219656,0.30725745173632696,0.07914077274170747
219541635,6526,A,A,0.16901971582592434,0.30407835852965176,0.526901925644424
219541637,6526,A,A,0.15187564086751404,0.29472422789629243,0.5534001312361936
219541638,6597,H,H,0.4787327138207281,0.3052903328852614,0.21597695329401045
219541639,6526,D,A,0.07249315030585157,0.3282864168487149,0.5992204328454336
219541640,6435,H,D,0.3953633313787055,0.45545985909726805,0.1491768095240264
219541643,6526,H,D,0.34658321596051084,0.4160366026168056,0.23738018142268352
219890281,6435,D,H,0.3885281268499826,0.33733096945191876,0.27414090369809874
219928208,6527,A,A,0.30284694254250716,0.3020206239646078,0.395132433492885
219928209,6527,A,H,0.7817983050596166,0.15371431839521507,0.06448737654516827
219930818,6597,D,H,0.44914872621903357,0.22351711458282023,0.3273341591981461
