fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420592009,2026-08-28T19:30:00.000000Z,La Liga,Deportivo Alavés,Villarreal,2026-08-24T11:51:20.207460+00:00,NS,0.368,0.262,0.37,A,0.2744,0.2728,0.4528,A,1.1,1.6,1.08,1.57,1,1,1-1,0.649,MEDIUM,,,,,
420592461,2026-08-29T11:30:00.000000Z,Premier League,Liverpool,Nottingham Forest,2026-08-24T11:51:20.207460+00:00,NS,0.519,0.216,0.265,H,0.5021,0.2595,0.2384,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1801,LOW,,,,,
420592587,2026-08-29T13:30:00.000000Z,Bundesliga,RB Leipzig,Borussia Mönchengladbach,2026-08-24T11:51:20.207460+00:00,NS,0.601,0.196,0.203,H,0.5189,0.255,0.2261,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1185,LOW,,,,,
420592583,2026-08-29T13:30:00.000000Z,Bundesliga,Elversberg,Bayer 04 Leverkusen,2026-08-24T11:51:20.207460+00:00,NS,0.32,0.245,0.435,A,0.2649,0.2691,0.466,A,1.1,1.6,1.08,1.57,1,1,1-1,0.437,MEDIUM,,,,,
420592584,2026-08-29T13:30:00.000000Z,Bundesliga,FC Köln,TSG Hoffenheim,2026-08-24T11:51:20.207460+00:00,NS,0.378,0.261,0.361,H,0.4734,0.2693,0.2573,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5919,MEDIUM,,,,,
420592586,2026-08-29T13:30:00.000000Z,Bundesliga,FSV Mainz 05,Paderborn,2026-08-24T11:51:20.207460+00:00,NS,0.485,0.245,0.27,H,0.495,0.2658,0.2392,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2681,LOW,,,,,
420592585,2026-08-29T13:30:00.000000Z,Bundesliga,FC Union Berlin,Eintracht Frankfurt,2026-08-24T11:51:20.207460+00:00,NS,0.371,0.272,0.357,H,0.4719,0.2717,0.2564,H,1.65,1.05,1.62,1.03,1,1,1-1,0.6289,MEDIUM,,,,,
420592601,2026-08-29T14:00:00.000000Z,Premier League,Coventry City,Hull City,2026-08-24T11:51:20.207460+00:00,NS,0.422,0.257,0.321,H,0.4822,0.2684,0.2494,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4604,MEDIUM,,,,,
420592602,2026-08-29T14:00:00.000000Z,Premier League,AFC Bournemouth,Everton,2026-08-24T11:51:20.207460+00:00,NS,0.517,0.231,0.252,H,0.5015,0.2628,0.2357,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2258,LOW,,,,,
420592841,2026-08-29T15:00:00.000000Z,La Liga,Levante,Real Betis,2026-08-24T11:51:20.207460+00:00,NS,0.416,0.262,0.322,H,0.481,0.2695,0.2495,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4853,MEDIUM,,,,,
420592903,2026-08-29T15:15:00.000000Z,Ligue 1,Strasbourg,Lens,2026-08-24T11:51:20.207460+00:00,NS,0.316,0.261,0.423,A,0.264,0.2726,0.4634,A,1.1,1.6,1.08,1.57,1,1,1-1,0.4967,MEDIUM,,,,,
420592938,2026-08-29T16:30:00.000000Z,Serie A,Sassuolo,Torino,2026-08-24T11:51:20.207460+00:00,NS,0.401,0.267,0.332,H,0.4779,0.2706,0.2515,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5359,MEDIUM,,,,,
420592939,2026-08-29T16:30:00.000000Z,Serie A,Monza,Udinese,2026-08-24T11:51:20.207460+00:00,NS,0.293,0.26,0.447,A,0.2594,0.2724,0.4682,A,1.1,1.6,1.08,1.57,1,1,1-1,0.4268,MEDIUM,,,,,
